Unnamed: 0,trial,participant,code_file,code_language,timestamp,duration,x_cord,y_cord,aoi_x,aoi_y,aoi_width,aoi_height,token,length,srcML,quality,line,part,complexity,stage
59258,5,189,rectangle_java2.jpg,rectangle_java2.jpg,9899918239,100,715.7524,261.696,672,262,68,16,private,7,class->block->decl_stmt->decl->type->specifier,85,2,1,A,stage1
59259,5,189,rectangle_java2.jpg,rectangle_java2.jpg,9900914099,148,662.4778378,232.4902703,660,225,47,15,class,5,class,85,1,2,A,stage1
59260,5,189,rectangle_java2.jpg,rectangle_java2.jpg,9901086082,132,687.6551515,229.4618182,660,225,47,15,class,5,class,85,1,2,A,stage1
59261,5,189,rectangle_java2.jpg,rectangle_java2.jpg,9901622017,184,712.0247826,264.3086957,672,262,68,16,private,7,class->block->decl_stmt->decl->type->specifier,85,2,1,A,stage1
59262,5,189,rectangle_java2.jpg,rectangle_java2.jpg,9901793985,120,736.0583333,265.2996667,672,262,68,16,private,7,class->block->decl_stmt->decl->type->specifier,85,2,1,A,stage1
59263,5,189,rectangle_java2.jpg,rectangle_java2.jpg,9902478019,152,861.5626315999999,289.3157895,856,297,28,16,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,85,3,4,A,stage1
59264,5,189,rectangle_java2.jpg,rectangle_java2.jpg,9902570007,88,858.8918182,264.9577273,866,262,5,16,",",1,class->block->decl_stmt,85,2,6,A,stage1
59265,5,189,rectangle_java2.jpg,rectangle_java2.jpg,9902745797,148,801.0002703,270.3508108,788,262,18,16,x1,2,class->block->decl_stmt->decl->name,85,2,3,A,stage1
59266,5,189,rectangle_java2.jpg,rectangle_java2.jpg,9903154018,140,910.0297143,287.20885710000005,894,297,18,16,x1,2,class->block->constructor->parameter_list->parameter->decl->type->name,85,3,5,A,stage1
59267,5,189,rectangle_java2.jpg,rectangle_java2.jpg,9903449991,236,706.0835592999999,312.2701695,672,297,58,16,public,6,class->block->constructor->specifier,85,3,1,A,stage1
59268,5,189,rectangle_java2.jpg,rectangle_java2.jpg,9903745845,260,770.5264615,311.3423077,740,297,86,16,Rectangle,9,class->block->constructor->name,85,3,2,A,stage1
59269,5,189,rectangle_java2.jpg,rectangle_java2.jpg,9903809883,60,764.6413332999999,309.908,740,297,86,16,Rectangle,9,class->block->constructor->name,85,3,2,A,stage1
59270,5,189,rectangle_java2.jpg,rectangle_java2.jpg,9903945902,92,875.7613043,302.7665217,856,297,28,16,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,85,3,4,A,stage1
59271,5,189,rectangle_java2.jpg,rectangle_java2.jpg,9904281882,136,872.5770587999999,308.4285294,856,297,28,16,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,85,3,4,A,stage1
59272,5,189,rectangle_java2.jpg,rectangle_java2.jpg,9904709710,100,825.9732,329.9388,829,333,19,16,x1,2,class->block->constructor->block->block_content->expr_stmt->expr->name->name,85,4,3,A,stage1
59273,5,189,rectangle_java2.jpg,rectangle_java2.jpg,9905017888,116,764.2155172,346.0113793,734,333,66,16,this.x1,7,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,85,4,1,A,stage1
59274,5,189,rectangle_java2.jpg,rectangle_java2.jpg,9905105914,60,855.9533332999998,323.1813333,859,333,5,16,;,1,class->block->constructor->block->block_content->expr_stmt,85,4,4,A,stage1
59275,5,189,rectangle_java2.jpg,rectangle_java2.jpg,9905385765,276,859.9994203,322.2904348,859,333,5,16,;,1,class->block->constructor->block->block_content->expr_stmt,85,4,4,A,stage1
59276,5,189,rectangle_java2.jpg,rectangle_java2.jpg,9905581688,156,770.9982051,323.1284615,734,333,66,16,this.x1,7,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,85,4,1,A,stage1
59277,5,189,rectangle_java2.jpg,rectangle_java2.jpg,9905733731,148,764.4875676,333.77945950000003,734,333,66,16,this.x1,7,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,85,4,1,A,stage1
59278,5,189,rectangle_java2.jpg,rectangle_java2.jpg,9905993795,212,857.7254717000001,299.0545283,856,297,28,16,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,85,3,4,A,stage1
59279,5,189,rectangle_java2.jpg,rectangle_java2.jpg,9906969771,168,816.2971428999999,287.022381,740,297,86,16,Rectangle,9,class->block->constructor->name,85,3,2,A,stage1
59280,5,189,rectangle_java2.jpg,rectangle_java2.jpg,9908213626,104,1133.711923,311.9961538,1115,297,28,16,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,85,3,13,A,stage1
59281,5,189,rectangle_java2.jpg,rectangle_java2.jpg,9908333638,76,806.8073684,288.5484211,740,297,86,16,Rectangle,9,class->block->constructor->name,85,3,2,A,stage1
59282,5,189,rectangle_java2.jpg,rectangle_java2.jpg,9908493614,148,721.5094594999999,287.65540539999995,672,297,58,16,public,6,class->block->constructor->specifier,85,3,1,A,stage1
