Participant,Trial,code_file,Programming_Language,Expertise,Complexity,Story_Order_Naive_Score,Story_Order_Dynamic_Score,Story_Order_Dynamic_Repetitions,Execution_Order_Naive_Score,Execution_Order_Dynamic_Score,Execution_Order_Dynamic_Repetitions
189,2,vehicle_java2.jpg,Java,medium,B,4,4,1,-12,-12,1
202,2,vehicle_java.jpg,Java,medium,B,-344,-267,5,-349,-298,5
202,5,rectangle_java.jpg,Java,medium,A,-62,-51,2,-77,-77,1
204,5,rectangle_java.jpg,Java,low,A,8,8,1,-29,-29,1
204,2,vehicle_java.jpg,Java,low,B,-14,-14,1,-24,-24,1
203,2,rectangle_java.jpg,Java,medium,A,-45,-43,2,-47,-47,1
203,5,vehicle_java.jpg,Java,medium,B,-17,-17,1,-29,-29,1
210,2,vehicle_java2.jpg,Java,high,B,-27,-27,1,-49,-49,1
210,5,rectangle_java2.jpg,Java,high,A,-14,-14,1,-38,-38,1
216,2,vehicle_java2.jpg,Java,none,B,-37,-37,1,-47,-47,1
211,5,vehicle_java2.jpg,Java,medium,B,-33,-33,1,-52,-52,1
211,2,rectangle_java2.jpg,Java,medium,A,-24,-24,1,-31,-31,1
49,2,rectangle_python.jpg,Python,medium,A,-14,12,3,-19,-5,2
82,5,rectangle_java2.jpg,Java,high,A,-42,-27,2,-35,-35,1
82,2,vehicle_java2.jpg,Java,high,B,-70,-62,3,-87,-72,2
194,2,rectangle_java.jpg,Java,medium,A,-224,-109,5,-202,-143,4
158,2,rectangle_java2.jpg,Java,high,A,-62,-54,2,-64,-53,2
158,5,vehicle_java2.jpg,Java,high,B,-62,-47,2,-79,-63,2
71,2,rectangle_java.jpg,Java,low,A,-34,-34,1,-32,-32,1
78,5,rectangle_java2.jpg,Java,low,A,-36,-24,2,-42,-42,1
78,2,vehicle_java2.jpg,Java,low,B,15,15,1,-2,-2,1
47,5,rectangle_python.jpg,Python,medium,A,-14,-9,2,-24,-22,2
151,5,vehicle_java2.jpg,Java,high,B,-298,-233,4,-321,-250,4
151,2,rectangle_java2.jpg,Java,high,A,-246,-213,3,-239,-210,3
169,2,vehicle_java.jpg,Java,medium,B,-64,-23,2,-87,-59,2
169,5,rectangle_java.jpg,Java,medium,A,-170,-82,5,-152,-110,3
40,2,rectangle_java.jpg,Java,medium,A,-44,-44,1,-63,-55,2
40,5,vehicle_java.jpg,Java,medium,B,-57,-43,2,-81,-62,2
14,2,rectangle_java2.jpg,Java,medium,A,-31,-31,1,-56,-56,1
105,2,rectangle_java2.jpg,Java,high,A,-32,-31,2,-62,-62,1
105,5,vehicle_java2.jpg,Java,high,B,-24,-24,1,-46,-46,1
13,2,rectangle_java2.jpg,Java,medium,A,-108,-67,3,-115,-107,2
13,5,vehicle_java2.jpg,Java,medium,B,-308,-241,5,-319,-257,5
133,5,vehicle_java2.jpg,Java,medium,B,-83,-63,3,-106,-68,3
25,2,rectangle_java2.jpg,Java,medium,A,-142,-94,4,-148,-132,2
25,5,vehicle_java2.jpg,Java,medium,B,-100,-86,2,-123,-98,2
168,2,rectangle_java2.jpg,Java,medium,A,-228,-156,3,-209,-159,4
168,5,vehicle_java2.jpg,Java,medium,B,-93,-55,3,-103,-78,2
41,5,vehicle_java2.jpg,Java,high,B,-98,-89,2,-121,-113,2
41,2,rectangle_java2.jpg,Java,high,A,-106,-100,3,-110,-99,2
79,2,vehicle_java2.jpg,Java,medium,B,-110,-51,3,-122,-84,3
79,5,rectangle_java2.jpg,Java,medium,A,-66,-9,3,-41,-41,1
192,2,rectangle_java.jpg,Java,medium,A,-100,-59,3,-100,-89,2
192,5,vehicle_java.jpg,Java,medium,B,-7,-7,1,-27,-27,1
84,2,vehicle_java2.jpg,Java,medium,B,-92,-85,2,-115,-104,2
84,5,rectangle_java2.jpg,Java,medium,A,-137,-90,4,-128,-84,3
166,5,vehicle_java.jpg,Java,medium,B,-158,-114,4,-179,-140,4
70,5,vehicle_java2.jpg,Java,low,B,-34,-34,1,-48,-48,1
48,2,vehicle_java2.jpg,Java,high,B,-35,-34,2,-58,-58,1
48,5,rectangle_java2.jpg,Java,high,A,-3,-3,1,-33,-33,1
161,2,vehicle_python.jpg,Python,medium,B,-74,-15,3,-91,-35,3
77,5,rectangle_java2.jpg,Java,medium,A,-172,-115,3,-153,-130,2
77,2,vehicle_java2.jpg,Java,medium,B,-72,-56,2,-95,-83,3
83,5,rectangle_java2.jpg,Java,medium,A,-178,-112,4,-159,-126,3
83,2,vehicle_java2.jpg,Java,medium,B,-109,-96,3,-114,-107,3
135,2,rectangle_java2.jpg,Java,medium,A,-108,-96,2,-116,-110,2
135,5,vehicle_java2.jpg,Java,medium,B,-190,-151,3,-207,-181,3
24,5,rectangle_java2.jpg,Java,medium,A,-17,-17,1,-30,-30,1
24,2,vehicle_java2.jpg,Java,medium,B,-34,-34,1,-40,-40,1
132,2,rectangle_java2.jpg,Java,low,A,-230,-138,6,-217,-169,3
132,5,vehicle_java2.jpg,Java,low,B,-141,-116,4,-147,-127,3
12,5,rectangle_java2.jpg,Java,low,A,-26,-1,2,-35,-35,1
12,2,vehicle_java2.jpg,Java,low,B,-152,-82,2,-169,-121,2
104,2,rectangle_java.jpg,Java,medium,A,-134,-118,2,-141,-117,2
104,5,vehicle_java.jpg,Java,medium,B,-104,-78,2,-118,-89,2
15,2,rectangle_java.jpg,Java,medium,A,-24,-8,2,-49,-49,1
